# ----------------------------------------------
# File created by ellipsoFit 2011-03-19T14:59:08
# ----------------------------------------------
Ellipsometry file =	/home/mario/Bureau/ellipsofit/samples/1736.csv
Einf =	2.5164
Ep   =	5.6598
G    =	1.2864
Ek(1) =	1.3656
fk(1) =	5.1328
Gk(1) =	0.89395
Ek(2) =	2.5524
fk(2) =	0.76401
Gk(2) =	1.0953
Ek(3) =	4.8402
fk(3) =	0.87956
Gk(3) =	1.1578
Ek(4) =	6.232
fk(4) =	1.3823
Gk(4) =	0.97596

N   =	2.32562e+22 [cm-3]
Tr  =	5.11622e-16 [s]
Rop =	298.576 [uohm cm]

100 points of the fit :
Energy     	Real value  	Imaginary value  	Reflectivity value
1.00752e-01	-8.54681e+00	2.45921e+02	-3.47543e-02
1.88733e-01	-8.21285e+00	1.29678e+02	-6.33327e-02
2.76715e-01	-7.69434e+00	8.67946e+01	-8.86500e-02
3.64696e-01	-7.01511e+00	6.42828e+01	-1.09129e-01
4.52678e-01	-6.20496e+00	5.03725e+01	-1.23181e-01
5.40660e-01	-5.29829e+00	4.09712e+01	-1.29317e-01
6.28641e-01	-4.33424e+00	3.42892e+01	-1.26402e-01
7.16623e-01	-3.35909e+00	2.94254e+01	-1.14156e-01
8.04604e-01	-2.43200e+00	2.58795e+01	-9.39742e-02
8.92586e-01	-1.63374e+00	2.33467e+01	-6.99772e-02
9.80567e-01	-1.07447e+00	2.16070e+01	-4.97278e-02
1.06855e+00	-8.86482e-01	2.04432e+01	-4.33632e-02
1.15653e+00	-1.17454e+00	1.95755e+01	-6.00004e-02
1.24451e+00	-1.91297e+00	1.86613e+01	-1.02510e-01
1.33249e+00	-2.86967e+00	1.74196e+01	-1.64738e-01
1.42047e+00	-3.69922e+00	1.57996e+01	-2.34133e-01
1.50846e+00	-4.15911e+00	1.39829e+01	-2.97443e-01
1.59644e+00	-4.21122e+00	1.22091e+01	-3.44926e-01
1.68442e+00	-3.95030e+00	1.06364e+01	-3.71395e-01
1.77240e+00	-3.49961e+00	9.32311e+00	-3.75369e-01
1.86038e+00	-2.95906e+00	8.26589e+00	-3.57985e-01
1.94836e+00	-2.39716e+00	7.43621e+00	-3.22363e-01
2.03635e+00	-1.85929e+00	6.79925e+00	-2.73455e-01
2.12433e+00	-1.37728e+00	6.31976e+00	-2.17932e-01
