1.5;-3.46;7.941
1.55;-3.374;7.358
1.6;-3.083;6.891
1.65;-2.781;6.495
1.7;-2.557;6.068
1.75;-2.275;5.702
1.8;-1.954;5.393
1.85;-1.757;5.094
1.9;-1.492;4.796
1.95;-1.284;4.527
2;-1.036;4.312
2.05;-0.79;4.103
2.1;-0.591;3.902
2.15;-0.369;3.723
2.2;-0.158;3.565
2.25;0.005;3.417
2.3;0.216;3.3
2.35;0.38;3.177
2.4;0.562;3.078
2.45;0.728;2.979
2.5;0.876;2.887
2.55;1.028;2.818
2.6;1.16;2.735
2.65;1.309;2.687
2.7;1.436;2.63
2.75;1.562;2.596
2.8;1.698;2.56
2.85;1.827;2.542
2.9;1.935;2.529
2.95;2.052;2.531
3;2.156;2.533
3.05;2.241;2.545
3.1;2.321;2.551
3.15;2.41;2.578
3.2;2.488;2.604
3.25;2.544;2.636
3.3;2.6;2.668
3.35;2.649;2.699
3.4;2.692;2.735
3.45;2.734;2.771
3.5;2.767;2.805
3.55;2.79;2.837
3.6;2.829;2.876
3.65;2.84;2.909
3.7;2.872;2.943
3.75;2.88;2.977
3.8;2.904;3.012
3.85;2.926;3.048
3.9;2.927;3.082
3.95;2.944;3.116
4;2.945;3.163
4.05;2.952;3.192
4.1;2.939;3.225
4.15;2.945;3.266
4.2;2.958;3.293
4.25;2.947;3.334
4.3;2.932;3.376
4.35;2.936;3.418
4.4;2.919;3.443
4.45;2.89;3.469
4.5;2.874;3.519
4.55;2.855;3.549
4.6;2.846;3.583
4.65;2.818;3.637
4.7;2.798;3.655
4.75;2.765;3.698
4.8;2.729;3.728
4.85;2.683;3.75
4.9;2.632;3.782
4.95;2.614;3.829
5;2.561;3.85
