1.5;11.085;10.34
1.55;10.516;10.441
1.6;10.002;10.456
1.65;9.491;10.445
1.7;9.078;10.321
1.75;8.72;10.245
1.8;8.388;10.108
1.85;8.118;9.955
1.9;7.878;9.783
1.95;7.655;9.595
2;7.503;9.534
2.05;7.376;9.421
2.1;7.293;9.336
2.15;7.216;9.281
2.2;7.149;9.269
2.25;7.075;9.278
2.3;7.036;9.331
2.35;6.968;9.397
2.4;6.868;9.518
2.45;6.763;9.615
2.5;6.628;9.794
2.55;6.461;9.955
2.6;6.297;10.123
2.65;6.073;10.332
2.7;5.854;10.526
2.75;5.554;10.712
2.8;5.236;10.9
2.85;4.907;11.079
2.9;4.486;11.29
2.95;4.066;11.452
3;3.509;11.63
3.05;2.969;11.741
3.1;2.482;11.794
3.15;1.683;11.817
3.2;0.854;11.682
3.25;-0.072;11.333
3.3;-1.059;10.57
3.35;-1.532;9.402
3.4;-1.454;8.356
3.45;-1.098;7.703
3.5;-0.809;7.346
3.55;-0.61;7.145
3.6;-0.525;6.966
3.65;-0.495;6.785
3.7;-0.48;6.623
3.75;-0.455;6.464
3.8;-0.459;6.32
3.85;-0.478;6.17
3.9;-0.547;6.023
3.95;-0.571;5.896
4;-0.617;5.752
4.05;-0.727;5.583
4.1;-0.816;5.383
4.15;-0.927;5.146
4.2;-0.982;4.852
4.25;-1.011;4.487
4.3;-0.914;4.107
4.35;-0.723;3.816
4.4;-0.541;3.572
4.45;-0.354;3.382
4.5;-0.147;3.197
4.55;0.062;3.044
4.6;0.268;2.935
4.65;0.487;2.871
4.7;0.657;2.811
4.75;0.815;2.785
4.8;0.963;2.767
4.85;1.121;2.762
4.9;1.258;2.781
4.95;1.364;2.789
5;1.477;2.788
