1.5;-3.991;8.854
1.55;-3.809;8.207
1.6;-3.688;7.566
1.65;-3.273;7.105
1.7;-3.094;6.589
1.75;-2.779;6.176
1.8;-2.432;5.812
1.85;-2.097;5.467
1.9;-1.831;5.127
1.95;-1.537;4.857
2;-1.312;4.583
2.05;-1.067;4.342
2.1;-0.811;4.12
2.15;-0.539;3.936
2.2;-0.328;3.752
2.25;-0.126;3.594
2.3;0.087;3.446
2.35;0.281;3.311
2.4;0.481;3.194
2.45;0.653;3.072
2.5;0.839;2.978
2.55;1.019;2.888
2.6;1.199;2.809
2.65;1.37;2.756
2.7;1.527;2.705
2.75;1.691;2.685
2.8;1.83;2.673
2.85;1.964;2.677
2.9;2.084;2.695
2.95;2.183;2.718
3;2.259;2.74
3.05;2.331;2.765
3.1;2.403;2.767
3.15;2.439;2.779
3.2;2.48;2.778
3.25;2.546;2.772
3.3;2.597;2.765
3.35;2.668;2.755
3.4;2.736;2.761
3.45;2.813;2.781
3.5;2.879;2.806
3.55;2.928;2.838
3.6;2.979;2.878
3.65;3.025;2.921
3.7;3.07;2.959
3.75;3.109;3.013
3.8;3.144;3.055
3.85;3.167;3.095
3.9;3.185;3.154
3.95;3.185;3.203
4;3.211;3.253
4.05;3.202;3.297
4.1;3.216;3.339
4.15;3.209;3.387
4.2;3.212;3.43
4.25;3.189;3.475
4.3;3.19;3.523
4.35;3.159;3.551
4.4;3.148;3.581
4.45;3.139;3.618
4.5;3.125;3.639
4.55;3.1;3.68
4.6;3.083;3.709
4.65;3.083;3.744
4.7;3.044;3.805
4.75;3.025;3.827
4.8;2.996;3.871
4.85;3.002;3.915
4.9;2.908;3.967
4.95;2.86;3.991
5;2.841;4.008
